clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,cls_ID4,ID117,cls_ID
0,2,2,1, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ, そのスポーツのおすすめポイントを教えてください？,qs_o_s,0,0,0_s_1,1,qs_o_s_0,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_0,0,qs_o_s_0
0,3,3,1, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ, そのスポーツはテレビで鑑賞はされますか？,qs_o_s,0,1,0_s_2,2,qs_o_s_1,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_1,1,qs_o_s_1
0,16,16,1, 健康のために、気をつけていることはありますか？,スポーツ, そのほか健康のために、気をつけていることはありますか？,qs_o_s,1,2,0_s_3,3,qs_o_s_2,qs_o_s_1,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_2,2,qs_o_s_2
0,4,4,1, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？,qs_o_s,0,3,0_s_4,4,qs_o_s_3,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_3,3,qs_o_s_3
0,16,16,1, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？,qs_o_s,2,4,0_s_5,5,qs_o_s_4,qs_o_s_2,qs_x_s_8,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_4,4,qs_o_s_4
0,10,10,1, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？,qs_o_s,3,5,0_m_0,0,qs_o_s_5,qs_o_s_3,qs_x_s_16,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_5,5,qs_o_s_5
0,7,7,1, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？,qs_o_s,4,6,0_m_1,1,qs_o_s_6,qs_o_s_4,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_6,6,qs_o_s_6
0,1,1,1, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？,qs_o_s,5,7,0_m_2,2,qs_o_s_7,qs_o_s_5,qs_x_s_12,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_7,7,qs_o_s_7
0,20,20,1, その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？,qs_o_s,6,8,0_e_0,0,qs_o_s_8,qs_o_s_6,qs_x_s_24,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_8,8,qs_o_s_8
0,12,12,1, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？,qs_o_s,7,9,0_e_1,1,qs_o_s_9,qs_o_s_7,qs_x_s_23,qs_x_s_27,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_9,9,qs_o_s_9
0,1,1,1, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？,qs_o_s,8,10,0_e_2,2,qs_o_s_10,qs_o_s_8,qs_x_s_27,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_10,10,qs_o_s_10
0,8,8,1, どこで食べられたんですか・・,食事, どこで食べられたんですか？,qs_o_s,9,11,0_e_3,3,qs_o_s_11,qs_o_s_9,qs_x_s_28,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_11,11,qs_o_s_11
0,23,23,1, その旅先で何が一番楽しかったですか？,旅行, その旅先で何が一番楽しかったですか？,qs_o_s,10,12,0_t_0,0,qs_o_s_12,qs_o_s_10,qs_x_s_31,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_12,12,qs_o_s_12
0,5,5,1, その旅先で何かハプニングはありましたか!,旅行, その旅先で何かハプニングはありましたか？,qs_o_s,10,13,0_t_1,1,qs_o_s_13,qs_o_s_10,qs_x_s_31,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_13,13,qs_o_s_13
0,16,16,1, ほかには何か面白いことはありましたか？,旅行, ほかには何か面白いことはありましたか？,qs_o_s,11,14,0_t_2,2,qs_o_s_14,qs_o_s_11,qs_o_s_12,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_14,14,qs_o_s_14
0,22,22,1, その旅先で美味しい食べ物はたべましたか・・,旅行, その旅先で美味しい食べ物はたべましたか？,qs_o_s,10,15,0_t_3,3,qs_o_s_15,qs_o_s_10,qs_x_s_31,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_15,15,qs_o_s_15
1,4,4,1, そうですね、わかります。,default, そうですね、わかります。,re_x_m,0,0,1_d_0,0,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,16,re_x_m_0
1,2,2,1, なるほど、そうなんですね・・,default, なるほど、そうなんですね。,re_x_m,0,0,1_d_0,1,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,17,re_x_m_0
1,47,47,1, なるほど。,default, なるほど。,re_x_m,0,0,1_d_0,2,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,18,re_x_m_0
1,5,5,1, そうですね。,default, そうですね。,re_x_m,0,0,1_d_0,3,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,19,re_x_m_0
1,7,7,1, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。,re_o_m,25,0,1_d_5,5,re_o_m_0,re_o_m_25,qs_o_s_0,qs_o_s_8,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,20,re_x_m_1
2,9,9,1, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？,qs_x_s,0,0,2_s_10,0,qs_x_s_0,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_16,21,qs_x_s_0
2,8,8,1, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？,qs_x_s,0,1,2_m_10,3,qs_x_s_1,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_17,22,qs_x_s_0
2,6,6,1, スポーツをする目的は何ですか？,スポーツ, スポーツをする目的は何ですか？,qs_x_s,0,2,2_s_0,0,qs_x_s_2,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_18,23,qs_x_s_0
2,20,20,1, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？,スポーツ, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？,qs_x_s,0,3,2_s_1,1,qs_x_s_3,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_19,24,qs_x_s_0
2,3,3,1, 好きなスポーツはなんですか？,スポーツ, 好きなスポーツはなんですか？,qs_x_s,0,4,2_s_2,2,qs_x_s_4,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_20,25,qs_x_s_0
2,15,15,1, オリンピックは今までに見たことはありますか？,スポーツ, オリンピックは今までに見たことはありますか？,qs_x_s,0,5,2_s_3,3,qs_x_s_5,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_21,26,qs_x_s_0
2,1,1,1, スポーツはよくするんですか？,スポーツ, スポーツはよくするんですか？,qs_x_s,0,6,2_s_4,4,qs_x_s_6,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_22,27,qs_x_s_0
2,1,1,1, どんなスポーツをされましたか？,スポーツ, どんなスポーツをされましたか？,qs_x_s,0,7,2_s_5,5,qs_x_s_7,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_23,28,qs_x_s_0
2,7,7,1, 最近スポーツはしましたか？,スポーツ, 最近スポーツはしましたか？,qs_x_s,0,8,2_s_6,6,qs_x_s_8,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_24,29,qs_x_s_0
2,5,5,1, なにかおすすめのスポーツ観戦はありますか？,スポーツ, なにかおすすめのスポーツ観戦はありますか？,qs_x_s,0,9,2_s_7,7,qs_x_s_9,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_25,30,qs_x_s_0
2,7,7,1, 競技はなにをご覧になりますか？,スポーツ, 競技は何をご覧になりますか？,qs_x_s,0,10,2_s_8,8,qs_x_s_10,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_26,31,qs_x_s_0
2,16,16,1, パリで開催されるオリンピックを、見にいく予定はありますか？,スポーツ, パリで開催されるオリンピックを、見にいく予定はありますか？,qs_x_s,0,11,2_s_9,9,qs_x_s_11,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_27,32,qs_x_s_0
2,22,22,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qs_x_s,0,12,2_m_0,0,qs_x_s_12,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_28,33,qs_x_s_0
2,3,3,1, おすすめの歌手やきょくってありますか？,音楽, おすすめの歌手や曲ってありますか？,qs_x_s,0,13,2_m_1,1,qs_x_s_13,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_29,34,qs_x_s_0
2,14,14,1, カラオケは好きですか？,音楽, カラオケは好きですか？,qs_x_s,0,14,2_m_2,2,qs_x_s_14,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_30,35,qs_x_s_0
2,6,6,1, コンサートとかには行きますか？,音楽, コンサートとかには行きますか？,qs_x_s,0,15,2_m_3,3,qs_x_s_15,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_31,36,qs_x_s_0
2,9,9,1, カラオケでよくなにをうたうのですか？,音楽, カラオケでよく何を歌うのですか？,qs_x_s,0,16,2_m_4,4,qs_x_s_16,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_32,37,qs_x_s_0
2,4,4,1, カラオケに行くときはお友達と行きますか？,音楽, カラオケに行くときはお友達と行きますか？,qs_x_s,0,17,2_m_5,5,qs_x_s_17,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_33,38,qs_x_s_0
2,6,6,1, 最近音楽は聞きましたか？,音楽, 最近音楽は聞きましたか？,qs_x_s,0,18,2_m_6,6,qs_x_s_18,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_34,39,qs_x_s_0
2,3,3,1, がっきは何を演奏するのですか。,音楽, 楽器は何を演奏するのですか？,qs_x_s,0,19,2_m_7,7,qs_x_s_19,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_35,40,qs_x_s_0
2,7,7,1, おすすめの曲はありますか？,音楽, おすすめの曲はありますか？,qs_x_s,0,20,2_m_8,8,qs_x_s_20,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_36,41,qs_x_s_0
2,3,3,1, カラオケで歌ったりするのですか？,音楽, カラオケで歌ったりするのですか？,qs_x_s,0,21,2_m_9,9,qs_x_s_21,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_37,42,qs_x_s_0
2,7,7,1, どんなところに行きますか？和食ですか洋食ですか？,食事, どんなところに行きますか？和食ですか洋食ですか？,qs_x_s,0,22,2_e_0,0,qs_x_s_22,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_38,43,qs_x_s_0
2,10,10,1, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,qs_x_s,0,23,2_e_1,1,qs_x_s_23,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_39,44,qs_x_s_0
2,17,17,1, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？,qs_x_s,0,24,2_e_2,2,qs_x_s_24,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_40,45,qs_x_s_0
2,30,30,1, 甘いものと、からいものどちらがお好きですか？,食事, 甘いものと辛いもののどちらがお好きですか？,qs_x_s,0,25,2_e_3,3,qs_x_s_25,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_41,46,qs_x_s_0
2,23,23,1, 普段はどこでスイーツを買いますか？,食事, 普段はどこでスイーツを買いますか？,qs_x_s,0,26,2_e_4,4,qs_x_s_26,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_42,47,qs_x_s_0
2,2,2,1, 最近はまっている食べ物はありますか・・,食事, 最近はまっている食べ物はありますか？,qs_x_s,0,27,2_e_5,5,qs_x_s_27,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_43,48,qs_x_s_0
2,9,9,1, お友達とランチに行ったりしますか？,食事, お友達とランチに行ったりしますか？,qs_x_s,0,28,2_e_6,6,qs_x_s_28,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_44,49,qs_x_s_0
2,24,24,1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qs_x_s,0,29,2_e_7,7,qs_x_s_29,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_45,50,qs_x_s_0
2,4,4,1, 旅行にはよく行かれますか？,旅行, 旅行にはよく行かれますか？,qs_x_s,0,30,2_t_0,0,qs_x_s_30,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_46,51,qs_x_s_0
2,10,10,1, 旅行はどこに行ったことがありますか？,旅行, 旅行はどこに行ったことがありますか？,qs_x_s,0,31,2_t_1,1,qs_x_s_31,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_47,52,qs_x_s_0
2,11,11,1, 旅行に行くときはなにか目的はありますか？,旅行, 旅行に行くときは何か目的はありますか？,qs_x_s,0,32,2_t_2,2,qs_x_s_32,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_48,53,qs_x_s_0
2,15,15,1, 「温泉」などリフレッシュするためにいきますか？,旅行, 温泉などリフレッシュするためにいきますか？,qs_x_s,0,33,2_t_3,3,qs_x_s_33,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_49,54,qs_x_s_0
2,23,23,1, 今までいった「旅行」で特におすすめの場所はありますか？,旅行, 今までいった旅行で特におすすめの場所はありますか？,qs_x_s,0,34,2_t_4,4,qs_x_s_34,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_50,55,qs_x_s_0
2,23,23,1, さいきん旅行には行きましたか？,旅行, 最近、旅行には行きましたか？,qs_x_s,0,35,2_t_5,5,qs_x_s_35,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_51,56,qs_x_s_0
2,4,4,1, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？,qs_x_s,0,36,2_t_6,6,qs_x_s_36,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_52,57,qs_x_s_0
3,57,57,1, そうなんですね。,default, そうなんですね。,re_x_d,0,0,3_d_0,4,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,58,re_x_d_0
3,128,128,1, なるほど、そうなんですね。,default, なるほど、そうなんですね。,re_x_d,0,0,3_d_0,6,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,59,re_x_d_0
3,1,1,1, そうなんですか．,default, そうなんですか。,re_x_d,0,0,3_d_0,0,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,60,re_x_d_0
3,3,3,1, よくご存じですね。,default, よくご存じですね。,re_o_m,25,0,3_d_1,1,re_o_m_0,re_o_m_25,qs_o_s_0,qs_o_s_8,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,61,re_x_d_1
4,6,6,1, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。,thank,0,0,4_d_2,2,thank_0,thank_0,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,62,thank_0
4,58,58,1, ありがとうございました・・,default, ありがとうございました。,thank,1,0,4_d_0,3,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,63,thank_1
4,18,18,1, ありがとうございます。,default, ありがとうございます。,thank,1,0,4_d_0,4,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,64,thank_1
4,1,1,1, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！,thank,0,0,4_d_5,5,thank_0,thank_0,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,65,thank_2
4,20,20,1, 貴重な体験談をありがとうございました。,旅行, 貴重な体験談をありがとうございました。,thank,1,0,4_t_0,0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,66,thank_1
